,domain,ranking,isIp,valid,activeDuration,urlLen,is@,isredirect,haveDash,domainLen,nosOfSubdomain,label
52135,www.adobe.com/aboutadobe/careeropp/college/internships.html,53,0,1,12234,59,0,0,0,13,2,0
69775,www.sonic.net/~goetsch/webrookie/,54461,0,1,9496,33,0,0,0,13,2,0
2443,calculator.vrachi-sklif.ru/logs/remax/index.htm,10000000,0,1,366,47,0,0,1,26,2,1
50410,www.freewebs.com/mastraessle/,5001,0,1,8035,29,0,0,0,16,2,0
90741,www.helsinki.fi/~msiivola/sgl.html,19105,0,0,0,34,0,0,0,15,2,0
79733,www.tldp.org/HOWTO/Samba-Authenticated-Gateway-HOWTO.html,17156,0,1,9131,57,0,0,0,12,2,0
32307,www.jlcyedu.com.cn/news/?us.battle.net/login/en/?ref=http\%3A\%2F\%2Fxwzqzbwus.battle.net\%2Fd3\%2Fen\%2Findex&amp;app=com-d3,10000000,0,1,1461,125,0,0,0,18,3,1
23473,explorasur.com/~purebusi/paypal/,10000000,0,1,4018,32,0,0,0,14,1,1
15117,dou8.edunoskol.ru/templates/system/-/tam.sender.tam.fidelidade.2012.tam/carrega_auto.php?cliente,10000000,0,1,3653,96,0,0,0,17,2,1
11259,www.ktloudesigns.co.uk/filmwedding/components/com_newsfeeds/helpers/index.php,10000000,0,0,0,77,0,0,0,22,3,1
85549,linux01.gwdg.de/~pbleser/,109737,0,0,0,25,0,0,0,15,2,0
8235,steamconnumitys.bugs3.com/forums/,18216,0,1,3288,33,0,0,0,25,2,1
3,mail.printakid.com/www.online.americanexpress.com/index.html,10000000,0,1,5844,60,0,0,0,18,2,1
43883,mindspaceglobalsolutions.com/resource/stgeorge/stgeorge/stgeorge/stgeorge/stgeorge/stgeorge/index.htm,10000000,0,0,0,101,0,0,0,28,1,1
53195,www.laforo.com/default.htm,10000000,0,1,7304,26,0,0,0,14,2,0
1728,thenewlead3.netdns.net/icons/.cgi-bin/wu/asp/,10000000,0,1,8766,45,0,0,0,22,2,1
54155,www.inc.com/inc5000/,1747,0,1,12054,20,0,0,0,11,2,0
59537,www.fit.vutbr.cz/events/ism/,45441,0,1,10737,28,0,0,0,16,3,0
41637,www.qinxin.cn/images/index.htm?us.battle.net/login/en/?ref=pxmuxznus.battle.net/d3/en/index&amp;app=com-d3,10000000,0,1,9132,106,0,0,0,13,2,1
37871,davis82.com/logs/ppl/css/SSL/log1/gb/cycgi-bin/webscr/webscrcmd=_home-customer&amp;nav=1/secure-code83/security/,10000000,0,0,0,112,0,0,0,11,1,1
66784,tools.ietf.org/html/rfc962,14969,0,1,9133,26,0,0,0,14,2,0
41061,coldwels.chrommystore.com/ColdWellb/coldwellbanker/,10000000,0,0,0,51,0,0,0,25,2,1
30192,paypal.com.cgi.bin.webscr.cmd.flow.session.lohzumu98pjkwkwudgtj3ie6btlub.online775885d80a13c0db1f8e263663d3faee8d43b1bb6ca3ufquez.login.efzg5epaloginukzzz.uzmandoktorum.com/,10000000,0,1,1461,173,0,0,0,172,13,1
36138,barerestaurantecolonial.com.br/~mpolvora/accounts.department.online.team/webscr.php,10000000,0,0,0,83,0,0,0,30,2,1
92259,www.ee0r.com/games/rpsbuttons.html,10000000,0,1,6940,34,0,0,0,12,2,0
93994,www.freewebs.com/detg/,5001,0,1,8035,22,0,0,0,16,2,0
3904,freeitemsontibia.w.interia.pl/index.html,646,0,0,0,40,0,0,0,29,3,1
50747,www.lunong.com/english/companyintro.htm,10000000,0,1,7305,39,0,0,0,14,2,0
28653,somasolutions.com.mx/img/m.bpd.com.do/wap/mb/ls/ns/root.jsp.htm,10000000,0,1,4382,63,0,0,0,20,2,1
16325,paypal.com.cgi-bin.webscr.cmd.login-submitdispatch.careerdraw.com/login_account/92627780384c83597e494e283d894d32/,10000000,0,1,365,113,0,0,1,65,7,1
91655,www.rpg.net/news+reviews/reviews/rev_153.html,32174,0,1,10226,45,0,0,0,11,2,0
27554,www.paypal.ca.2255.secure1r.mx/images/cgi.bin/ca/web.scr/?cmnd=_lg&nav=1884cd67e7f561dcb20717f0b18ad38d,10000000,0,0,0,103,0,0,0,30,5,1
49313,www.setantarecords.com/php/main.php,10000000,0,1,8400,35,0,0,0,22,2,0
77657,www.macharsoft.co.uk/unicomal/unicomal.html,10000000,0,0,0,43,0,0,0,20,3,0
35683,iamsupernatural.org/iii7/index.html,10000000,0,0,0,35,0,0,0,19,1,1
68322,tools.ietf.org/html/rfc2627,14969,0,1,9133,27,0,0,0,14,2,0
95451,ds.ign.com/objects/884/884642.html,339,0,1,10226,34,0,0,0,10,2,0
37701,black.com.pk/service.paypal.confirm.com.usa.webscrlcmdl.login.submit.dispatch.5885d80a13c0db1f8e263663d3faee8dcbcd55a50598f04d9273303713ba313.980487.98746.874774.8754/paypal.com/73db0c141c4d5180fa2fdfd6775cc092/index.php?cmd=_login&amp;,10000000,0,0,0,236,0,0,0,12,2,1
65409,www.powell-graphics.com/roomcal,10000000,0,1,7671,31,0,0,1,23,2,0
60718,www.webring.com/hub?ring=x3dvrml97,8419,0,1,9495,34,0,0,0,15,2,0
61936,www.guybrush.demon.co.uk/spectrum/index.html,27817,0,0,0,44,0,0,0,24,4,0
11043,docs.google.com/a/sify.com/spreadsheet/viewform?formkey=dEt0VUY3T1Jka3liSDdteVZ3NWx0UGc6MQ,1,0,1,11322,90,0,0,0,15,2,1
34909,ewk-zell.at/update.php,10000000,0,0,0,22,0,0,1,11,1,1
79895,www.networkworld.com/research/2002/0930p3p.html,9621,0,1,9131,47,0,0,0,20,2,0
54462,aisel.aisnet.org/cais/,188989,0,1,8767,22,0,0,0,16,2,0
71705,www.ddj.com/cpp/184403881,10000000,0,1,9496,25,0,0,0,11,2,0
3287,habbobrasil.rel7.com/,10000000,0,1,731,21,0,0,0,20,2,1
79948,www.perl.com/pub/a/2002/02/20/css.html,193405,0,1,12783,38,0,0,0,12,2,0
41401,9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?attachauth=ANoY7cpSziFwWthA6TG3F3qmkZr27RwWp7E2AfJZ-MbGtOK263B3FPRVeVXMmPj5gj8DGfVbJrMXlqX3MpY4zDvF294gz3hkd_kgTKX_ofKrFkK_bMqsUlNkUjq4NWTAgEwrY3IdzCbfnzSfS_6OU_ViCKzSw6aChOyhHv69zdFUVtzLlsLTerRwPGSQ3BbEdbxdvGtFflQBvkXYaw3Gu_mseF7BloMnsQ\%3D\%3D&amp;attredirects=2,4570,0,1,6939,343,0,0,1,44,2,1
29178,www.chanel-shops.org/property/Remax2/Remax/,10000000,0,0,0,43,0,0,1,20,2,1
65646,tools.ietf.org/html/rfc3053,14969,0,1,9133,27,0,0,0,14,2,0
78655,iccnet.50megs.com/Products/bigcomments/bigcomments.htm,38793,0,1,7671,54,0,0,0,17,2,0
20329,wmaiwrefv.com/webmailupdate.com/,10000000,0,0,0,32,0,0,0,13,1,1
69765,zykom.com/zyk.html,10000000,0,1,7670,18,0,0,0,9,1,0
1298,home.comcast.net/~rlewis260/ISAPIdllCustomerSupport&amp;ambaybuyerprotectionpoliciesindex1.html,183,0,1,8400,95,0,0,0,16,2,1
76899,www.sysarch.com/perl/sort_paper.html,10000000,0,1,9131,36,0,0,0,15,2,0
55016,www.heysportsfans.com/affiliates/affintro.htm,10000000,0,1,7671,45,0,0,0,21,2,0
2482,ferdvixtee12.h19.ru/Informativo-Online07/Central-Atendimento/,170032,0,1,5844,61,0,0,0,19,2,1
45522,www.paypal.co.uk.8954.secure-821.mx/images/cgi.bin/uk/web.scr/?cmnd=_lg&nav=bb4a41b37a65584679ac36301fbd1172,10000000,0,0,0,108,0,0,1,35,6,1
26703,14553paypal34461.techniicall.com/5375928562501965642?cmd=g596z5f6u5b63656r59696t494u4u446u5h636x5o596c4z5u5a6,10000000,0,0,0,109,0,0,0,32,2,1
14658,visaitalia.com.it.visa.verifedbyvisa.golden.space.london.verifedbyvisa.swoopyland.com/00563b821c79b9295c389b5b71ab66df/,10000000,0,0,0,119,0,0,0,85,10,1
72706,www.adahome.com/Tutorials/Lovelace/lovelace.htm,10000000,0,1,8765,47,0,0,0,15,2,0
74374,www.ncarg.ucar.edu/ngmath/,34241,0,0,0,26,0,0,0,18,3,0
25602,www.childswork.net/~amfaceli/webscr.php,10000000,0,0,0,39,0,0,0,18,2,1
43048,www.trashigangmss.edu.bt/wp-content/plugins/index.htm,10000000,0,0,0,53,0,0,0,24,3,1
25625,services.runescape.co.cm/m=forums/logonform.wz?code=&amp;ssl=1725&amp;des=1520,10000000,0,0,0,78,0,0,0,24,3,1
89887,www.octosys.co.uk/cid.html,10000000,0,0,0,26,0,0,0,17,3,0
15974,webbss.co.za/mydimples-pic/us.match.com-login.php,10000000,0,0,0,49,0,0,0,12,2,1
59235,rss.slashdot.org/Slashdot/slashdotApple,1859,0,1,8400,39,0,0,0,16,2,0
57678,www.katahdingateway.com/wba/,10000000,0,1,7305,28,0,0,0,23,2,0
54801,www.angelfire.com/nm/stainlesssteel/,2547,0,1,8035,36,0,0,0,17,2,0
42651,www.eurotradingpty.com/,10000000,0,0,0,23,0,0,0,22,2,1
35741,paypal.com-us.cgi-bin-webscr-cmd.login-submit-dispatch.010878667302805058979998720140785745758567584227545477587.rounceconstruction.co.uk/www.paypal.com/,10000000,0,0,0,153,0,0,1,137,7,1
50853,www.manlokrubber.com/index.html,10000000,0,1,7670,31,0,0,0,20,2,0
41020,9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?amp\%3Battredirects=1&amp;attachauth=ANoY7cpt6lEMBGkR3LTPcAg3p99KGdFn2JE_1Qn6nAIlW4IkI7hba-YDbOAptZaDvaEz8YT4jDRoqBH6p2EveV4DvsGkljn_VPOk3nlBMAKfDwRbSFv1BLOv9ZMNMO2WmJfqXevrcw5vLKEX_cGdV4hbmBI0GUKw1vjRSHhDYzghN0kkocpoyhOJ7_HeqGXsjODc9AyYYZ_NihosQWdJuqFonXCI38kmSQ\%3D\%3D&amp;attredirects=0,4570,0,1,6939,369,0,0,1,44,2,1
83578,blog.joelesler.net/2008/01/getting-things-done-gtd-mutt-and-vim.html,10000000,0,1,5114,68,0,0,0,18,2,0
27452,rubglue.com/~dolphin/paypal/,10000000,0,1,1096,28,0,0,0,11,1,1
47177,www.huyt-fourm.tk/login.asp?ref,10000000,0,0,0,31,0,0,1,17,2,1
79449,aass.oru.se/~tdt/,69214,0,0,0,17,0,0,0,11,2,0
39879,118bm.com/images/?app=com-d3&amp;\%C2\%A0...,10000000,0,1,4017,44,0,0,0,9,1,1
30227,paypal.com.ma.cgi.in.webscr.cmd.login-submit.dispatch5885d80a3c0d.5885d80a13c0d.klosterfelt.dk/Home/Usa/Home\%20Paypal/,10000000,0,0,0,119,0,0,1,94,11,1
31777,frogplays.com/images/updateAOL/index.html,10000000,0,1,731,41,0,0,0,13,1,1
70499,en.wikipedia.org/wiki/Ogg_Vorbis,6,0,1,8035,32,0,0,0,16,2,0
20683,painterspaintings.com/P_mindelse-koordinaterne-dk/c500f13d27b68119f7e968e1f59e8a70/,10000000,0,1,366,83,0,0,0,21,1,1
92904,www.angelfire.com/rant/thelegacyofpain/,2547,0,1,8035,39,0,0,0,17,2,0
22118,sprecto.com/images/remax/,10000000,0,1,2192,25,0,0,0,11,1,1
11004,ssl.paypal.com.uk.cgi-bin.webscr.mercadodelosguajiros.com/service/uk/websrc.php?cmd=_home-general\%26nav=0,10000000,0,0,0,106,0,0,1,57,7,1
94816,sourceforge.net/projects/cl-charman,168,0,1,7670,35,0,0,0,15,1,0
17388,kacmtl.com/js/remax/,10000000,0,0,0,20,0,0,0,10,1,1
57897,www.webring.com/hub?ring=pilotcars,8419,0,1,9495,34,0,0,0,15,2,0
89256,www.apple.com/support/mac101/,51,0,1,12420,29,0,0,0,13,2,0
12445,www.hkanson.com/images/?ref=us.battle.net/d3/en/index,10000000,0,1,3288,53,0,0,0,15,2,1
30729,terrassement-barraudfreres-17.com/photo/galerie/0/secure-code22/security/,10000000,0,1,366,73,0,0,1,33,1,1
62027,www.dewittindustries.com/cgibin/ibrowse/images/free/,10000000,0,1,8766,52,0,0,0,24,2,0
86313,people.bu.edu/zelig/,7770,0,0,0,20,0,0,0,13,2,0
91340,www.discovergames.com/Namesake.html,10000000,0,1,8400,35,0,0,0,21,2,0
91988,homepages.paradise.net.nz/~frenzy/pinlist/index.html,224897,0,0,0,52,0,0,0,25,3,0
17756,support-facebook-com.ch.vc/,10000000,0,0,0,27,0,0,1,26,2,1
92568,www.dnd.utwente.nl/~krimud/Docs/docs.html,32808,0,0,0,41,0,0,0,18,3,0
6277,us.battle.net.en.iiweb.asia/login/en/login.html?app=wam&amp;ref=www.battle.net/account/&amp;eor=0&amp;app=bam,10000000,0,0,0,109,0,0,0,27,5,1
10254,www.meindlboty.cz/admin/fckeditor/editor/images/smiley/msn/santanderonline/abbey/BtoChannelDriver.ssobto.htm,10000000,0,0,0,108,0,0,0,17,2,1
56292,www.ischool.utexas.edu/~cochinea/pdfs/t-brewer-04-sc6000.pdf,2852,0,0,0,60,0,0,0,22,3,0
85652,live.gnome.org/PhoneManager,12809,0,1,8400,27,0,0,0,14,2,0
28740,www.anonyweb.biz/693afa9260f3298c36d9cd82e5e229ff/,10000000,0,0,0,50,0,0,0,16,2,1
14697,elserviciodelvino.mx/tiendaserviciodelvino/paypal1/8cc8d58fc3e0f18dd7661a2f6df229b7/,10000000,0,1,4017,84,0,0,0,20,1,1
41362,9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?attachauth=ANoY7crTIwp5G5bl1Msweo2js1C84GSS-R8ApdpqWSb9BcO2byslG1KkgHdGNQFC4a7YSWvftp7cHOiicIJwYL6KBUz-W6Dun_j3B6GGii1-JyGVztzhhMTEa7EByaD_0NpJyIoFuhf3cnQo5TP3U5w2H3Rx0B7weonsvRtkjXilqJJcM7kKIgm7mAmNN_hnSmPz7NkSAMzGG0uJLreTR0-l6uPSK-QJIw\%3D\%3D&amp;attredirects=2,4570,0,1,6939,343,0,0,1,44,2,1
62985,en.wikipedia.org/wiki/IPod,6,0,1,8035,26,0,0,0,16,2,0
62481,members.chello.nl/~p.c.a.dekker/,84997,0,0,0,32,0,0,0,17,2,0
76904,www.freewebs.com/ncscripts/KoLbot.docs/,5001,0,1,8035,39,0,0,0,16,2,0
20273,www.vazquezyriverainsurance.com/joom/logs/paypal2013/index1.php,10000000,0,0,0,63,0,0,0,31,2,1
24172,vecchiofornobarletta.it/wp-content/iaz=444113293/id14Dpo/,10000000,0,1,1095,57,0,0,0,23,1,1
33649,turismometa.info/movil/imagenes/logos/www.paypal.it_security/confirmation/it/Processing1.php?cmd=_Processing&dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af4365ab5aadb6f400146bdd2a63513c97fc0fab5aadb6f400146bdd2a63513c97fc0f,10000000,0,0,0,246,0,0,0,16,1,1
88916,homepages.wmich.edu/~rea/Y2K/FAQ.html,35235,0,0,0,37,0,0,0,19,2,0
40769,9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?amp\%3Battredirects=2&amp;attachauth=ANoY7cp3tTt07EH5leS6Lo9d462-rgR9lS2vExRTbC0mgnaA1ihcdXlRqbuRddejrCmUO8FyIVR6Anl62ANh_Zi0wegZMUcKrArx4o3TqkeyQkYAa5ygSylecTQUqJB3-3Gu0uoS8pTGbZGMfgZ7KVckAIOKKvVY2clt4EaE3id1NErYH6P-1p4QrU8ze1lSXNaRJm8ESCCSOTdR_2fQuJCIKc7Hg4zs8Q\%3D\%3D&amp;attredirects=0,4570,0,1,6939,369,0,0,1,44,2,1
56360,www.thornber.net/cheshire/ideasmen/arkwright.html,10000000,0,1,7670,49,0,0,0,16,2,0
38631,www.nbgtwz.com/images/?secure.runescape.com/m=weblogin/loginform.ws?mod=www&pgzvadnamp;ssl=0&dest,10000000,0,1,730,97,0,0,0,14,2,1
43135,tcell.org.uk/osc.htm,10000000,0,0,0,20,0,0,0,12,2,1
13644,us.battle.net.en.zz-rs.com/login/en/login.html?amp,10000000,0,0,0,50,0,0,1,26,5,1
17006,www.xenialopez.com/paypal-com/encripted/ssl218.site/index.php,10000000,0,0,0,61,0,0,0,18,2,1
49608,www.davidlissy.com/events_portphoto.htm,10000000,0,1,7304,39,0,0,0,18,2,0
27813,villakidsbuffetinfantil.com/Limit-id=65722/650088d193136d950b5118026ff49553/,10000000,0,0,0,76,0,0,0,27,1,1
45137,paypal.com.update-account-information-webscrcmdaccountnav-0.04fs6sd569sdv13s25ef4d4ew7c52a65dg5rd6a5aesf6aerdgh65.lapiedrafeliz.cl/93078fd134462a2185042673df8b987c/,967990,0,0,0,164,0,0,1,130,5,1
70502,www.sourceforge.net/projects/ovplayer,168,0,1,7670,37,0,0,0,19,2,0
82122,www.infuzer.com/IDC/features/,10000000,0,1,7305,29,0,0,0,15,2,0
73192,www.codeproject.com/vcpp/stl/ptr_vecto.asp,1411,0,1,8401,42,0,0,0,19,2,0
79953,www.infoworld.com/article/02/05/03/020506opsecurity_1.html,9550,0,1,10592,58,0,0,0,17,2,0
33207,celfonts.com/sess=67758/cgi-w9hrxdeu6vs751z/mcNdxDEkzynhlqvd59Tars/dt=20120716/sdr01/am9ic3RiQHQtb25saW5lLmRl,10000000,0,0,0,109,0,0,0,12,1,1
20692,www.scotcampus.com/city-guide/rpc.php?x=y&amp;userid=10302401&amp;tjecksum=18585531404&amp;email=loxsde@orange.fr&amp;doAutoLogin=true,10000000,0,1,366,134,1,0,0,18,2,1
16432,activation-pp.3utilities.com:81/paypal/www.paypal.fr/verificattion/,10000000,0,0,0,67,0,0,1,31,2,1
79456,www.ai.mit.edu/people/lpk/,1303,0,0,0,26,0,0,0,14,3,0
34634,www.blackbeltinvestors.com/advisor/realtor.htm,10000000,0,1,3653,46,0,0,0,26,2,1
72927,www.intel.com/design/archives/processors/,1192,0,1,14245,41,0,0,0,13,2,0
83254,isp.imm.dtu.dk/thor/projects/multimedia/textmining/,69363,0,0,0,51,0,0,0,14,3,0
80471,www.barcodegenerator.de/index_e.htm,10000000,0,0,0,35,0,0,0,23,2,0
30408,vapamex.com/css/remax/index.htm,10000000,0,1,2922,31,0,0,0,11,1,1
54737,www.stat.fi/index_sv.html,157116,0,0,0,25,0,0,0,11,2,0
86883,citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.33.9490,2514,0,0,0,56,0,0,0,21,3,0
68299,tools.ietf.org/html/rfc2531,14969,0,1,9133,27,0,0,0,14,2,0
69055,searchenginewatch.com/article/2049193/Netscape-Integrates-Directory,1875,0,1,8034,67,0,0,0,21,1,0
50384,www.hamra.net/wordrunner/,10000000,0,1,8765,25,0,0,0,13,2,0
44730,www.kunst-kultur-4you.de/images/samples/M2u/M2ULogin.doaction=Login.html,10000000,0,0,0,72,0,0,1,24,2,1
19661,peypel.us.com.cgi.ngi.webscre.maps.logins.webaps.mba.homes.billings.activet.homa.pluns.5542290739f57ac719fdf5bc44d702ac3faee8d0b7e678a25d883d0fa.demo.seriport.com/welcome.0841208705nf12408av49701v245a35136a872abkqa73461/e565764d685d80caa0309a0fc38e9a0c/wbscra.htm?cmd=_Processing&amp;dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af4365cbcbb240177c2afbc4a6efd7f55aaecbcbcbb240177c2afbc4a6efd7f55aaecb,10000000,0,1,366,421,0,0,0,162,18,1
69942,www.net-ads.com/submit,10000000,0,1,8035,22,0,0,1,15,2,0
27871,villakidsbuffetinfantil.com/Limit-id=65722/3fa7dd972781907450ec6a002d425cce/,10000000,0,0,0,76,0,0,0,27,1,1
93428,www.ai.sri.com/~cheyer/rubiks/rubiks.html,149078,0,1,15707,41,0,0,0,14,3,0
94406,www.guyhoyle.net/risus/,10000000,0,0,0,23,0,0,0,16,2,0
81529,funtom.webz.cz/drivex/,143666,0,0,0,22,0,0,0,14,2,0
83194,www.teradata.com/t/history/,72165,0,1,8400,27,0,0,0,16,2,0
14264,www.interiordesignstaging.co.nz/,10000000,0,0,0,32,0,0,0,31,3,1
10286,djcaso.com/media/indexxx.html,10000000,0,1,5114,29,0,0,0,10,1,1
40942,9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?amp\%3Battredirects=0&amp;attachauth=ANoY7co3u-aDXoC3ce0LgIj6UA5jqsXLsbYX3dpp-Tpsu9ZHhiNjxSR5JI86yqLsdDDB1bwMjPI70nocBc5laZgFagnCDwYQXUlUUEP0V9VOypQofPGI-7Y74__26xwbnbdboLh_dPfLFNoLWm_fhVH-zNDh2PyFxmi71QpILRm3Gq8Ofua1if01l0zW1FtEQmRHslSCVjU0_kp7J3t7utLycnrzk3hY2g\%3D\%3D&amp;attredirects=0,4570,0,1,6939,369,0,0,1,44,2,1
15254,rekrim.addr.com/Tcf6y97p2ga8qv491090/aW5mb0BoZXJybWFubi1yZWNobnVuZ3NsZWd1bmcuZGUMessage-ID:/xDEsdR/Y2hyaXNjZWwuY29t,101067,0,1,8400,115,0,0,0,15,2,1
54974,webpages.charter.net/thesoupkitchen/,2014,0,1,9130,36,0,0,0,20,2,0
36448,paypal.com.cgi.bin.webscr.cmd.login.submit.dispatch.464896656849658464456879875244464568441913689645642546414564452.transformeducation.co.uk/service/reboot.php,10000000,0,0,0,159,0,0,0,140,12,1
43466,www.vivifi.ca/cmd=run1/webscr.php?cmd=_login-run4a0b0c2bc101a109128c8605e5fdc8a94a0b0c2bc101a109128c8605e5fdc8a9,10000000,0,0,0,112,0,0,0,13,2,1
76270,www.mozillazine.org/talkback.html?article=2433,6505,0,1,10226,46,0,0,0,19,2,0
54692,www.occo.net/airguy/,10000000,0,1,6209,20,0,0,0,12,2,0
76787,en.wikipedia.org/wiki/Class_(computer_science),6,0,1,8035,46,0,0,0,16,2,0
4780,www.autoacceptance.com/www.paypal.comcycgi-binwebscrcmd=_login-submit&amp;dispatch=5885d80a13c0db1f8e263663d3faee8d0b7e678a25d883d0fa72c947f193f8fd/,10000000,0,1,8401,148,0,0,0,22,2,1
65821,tools.ietf.org/html/rfc1305,14969,0,1,9133,27,0,0,0,14,2,0
84823,www.information-management.com/specialreports/20060119/1046451-1.html,107939,0,1,6940,69,0,0,1,30,2,0
43967,www.formbuddy.com/cgi-bin/formdisp.pl?u=jonesshirley123&amp;f=jonesshirley,228222,0,1,7670,74,0,0,0,17,2,1
81392,www.angelfire.com/art/cpc/index.html,2547,0,1,8035,36,0,0,0,17,2,0
81661,www.bigwave.com.au/reports,10000000,0,0,0,26,0,0,0,18,3,0
36944,eadgearman.com/components/com_ag_google_analytics2/5987159053/de-5352352353/,10000000,0,0,0,76,0,0,0,14,1,1
748,app.qmailer.co.uk/link/8556/3622298/179552,836190,0,0,0,42,0,0,0,17,3,1
93657,www.frontiernet.net/~jamesstarlight/HateTheDs.html,75300,0,1,9131,50,0,0,0,19,2,0
23408,paypal.com.online.updating.secure.cgi.confirm.paypal.account.update.protection.service.login.paypal.com.security.confirm.update.verify.account.logon.seoextreme.com/PP-658-119-347.html,10000000,0,1,6210,183,0,0,0,163,22,1
21882,managementinq.isdit.com/homepageoud/show/pagina.php?paginaid=303671&amp;c=50f96dc1,10000000,0,1,7305,82,0,0,0,23,2,1
62603,www.t10.org/lists/1spc-lst.htm,10000000,0,1,9130,30,0,0,0,11,2,0
35611,www.rbg.com.ua/ppLogin/90767/login.html?francescomsc@yahoo.it,10000000,0,0,0,61,1,0,0,14,3,1
37597,discover.com.us.login.account.confirmed.validat.cgi.bin-scred6lxqnaa2bvo5l2f9rdwgoxewgz7l3umkbcwoozc32mspqauplw.information.discover.ne.nettasmaden.com/confirmed\%3Fa6=ided6aee8d43.confib/login.php?section=cardmembersvcs/loginlogout/app/signin,10000000,0,0,0,243,0,0,1,151,13,1
